Date,Hour,Target
02/07/2020 ,24,26.63
02/08/2020 ,1,25.8
02/08/2020 ,2,24.84
02/08/2020 ,3,23.08
02/08/2020 ,4,23
02/08/2020 ,5,23.25
02/08/2020 ,6,27.54
02/08/2020 ,7,36.06
02/08/2020 ,8,28.67
02/08/2020 ,9,19.55
02/08/2020 ,10,14.14
02/08/2020 ,11,9.96
02/08/2020 ,12,5.38
02/08/2020 ,13,4.1
02/08/2020 ,14,2.05
02/08/2020 ,15,5.17
02/08/2020 ,16,12.11
02/08/2020 ,17,23.65
02/08/2020 ,18,32.18
02/08/2020 ,19,37.7
02/08/2020 ,20,36.76
